Address,Baths,Price,Rooms,Surface,Title
Marque De Vadillo - Comillas- Madrid,1 baño,192.000 €,2 dorm.,82 m,Piso en venta en Carabanchel
Marque De Vadillo - Comillas- Madrid,1 baño,155.000 €,3 dorm.,75 m,Piso en venta en Carabanchel
La Avanzada- Fuenlabrada,2 baños,165.000 €,3 dorm.,90 m,Piso en venta en El Naranjo - La Serna - La Avanzada
Valdemoro,2 baños,187.000 €,2 dorm.,73 m,Piso en venta en Valdemoro
Moscardo - Antonio Lopez- Madrid,1 baño,115.000 €,2 dorm.,43 m,Piso en venta en Usera
Marque De Vadillo - Comillas- Madrid,1 baño,195.000 €,3 dorm.,84 m,Piso en venta en Carabanchel
Concepción- Madrid,1 baño,199.000 €,2 dorm.,60 m,Piso en venta en Ciudad Lineal
Centro- Leganés,1 baño,135.260 €,3 dorm.,60 m,Piso en venta en Centro - Escritores
Venecia- Alcalá De Henares,1 baño,139.000 €,3 dorm.,91 m,Piso en venta en Reyes Catolicos - Rinconada - Venecia
Fuenlabrada,2 baños,229.000 €,2 dorm.,84 m,Piso en venta en El Arroyo - Fuenlabrada 2
San Nicasio- Leganés,1 baño,133.000 €,2 dorm.,65 m,Piso en venta en San Nicasio - Santos - Batallas
Centro- Leganés,1 baño,127.260 €,3 dorm.,73 m,Piso en venta en Centro - Escritores
Centro- Leganés,2 baños,137.260 €,2 dorm.,92 m,Local comercial en venta en Centro - Escritores
Parla,2 baños,119.900 €,3 dorm.,83 m,Piso en venta en Calle Lago Tiberiades
San Sebastián De Los Reyes,1 baño,149.000 €,2 dorm.,65 m,Piso en venta en San Sebastián De Los Reyes
Móstoles,2 baños,191.000 €,3 dorm.,105 m,Piso en venta en Centro - Hospital
Torrejón De Ardoz,2 baños,239.900 €,3 dorm.,96 m,Piso en venta en Torrejón De Ardoz
Simancas- Madrid,1 baño,95.000 €,2 dorm.,44 m,Piso en venta en San Blas
Centro- Alcorcón,1 baño,99.900 €,3 dorm.,61 m,Piso en venta en Centro - Ondarreta - Torres Bellas
Concepción- Madrid,2 baños,255.000 €,3 dorm.,105 m,Piso en venta en Ciudad Lineal
Centro - Hospital- Móstoles,1 baño,139.000 €,2 dorm.,71 m,Piso en venta en Calle Sevilla
Centro - Hospital- Móstoles,1 baño,159.000 €,2 dorm.,74 m,Piso en venta en Calle la Luna
Majadahonda,2 baños,460.000 €,4 dorm.,145 m,Piso en venta en Majadahonda
Villa De Vallecas- Casco Histórico De Vallecas- Madrid,1 baño,127.000 €,1 dorm.,55 m,Piso en venta en Calle del Puerto de Pozazal
Alameda De Osuna- Madrid,2 baños,365.000 €,2 dorm.,117 m,Piso en venta en Barajas
Simancas- Madrid,1 baño,191.500 €,1 dorm.,35 m,Piso en venta en San Blas
Mejorada Del Campo,1 baño,215.000 €,4 dorm.,111 m,Piso en venta en Mejorada Del Campo
Móstoles,1 baño,160.000 €,3 dorm.,99 m,Piso en venta en Centro - Hospital
Madrid,2 baños,275.000 €,3 dorm.,107 m,Piso en venta en Moratalaz
Madrid,2 baños,278.000 €,3 dorm.,92 m,Piso en venta en Moratalaz
Madrid,1 baño,148.000 €,2 dorm.,58 m,Piso en venta en Moratalaz
Canillejas- Madrid,1 baño,183.000 €,3 dorm.,87 m,Piso en venta en San Blas
Lavapiés - Embajadores- Madrid,1 baño,295.000 €,3 dorm.,87 m,Piso en venta en Centro
Palomeras - Portazgo- Madrid,1 baño,135.000 €,2 dorm.,60 m,Piso en venta en Puente De Vallecas
Concepción- Madrid,2 baños,439.000 €,3 dorm.,121 m,Piso en venta en Ciudad Lineal
Ensanche- Alcalá De Henares,3 baños,339.000 €,3 dorm.,154 m,Casa en venta en Chorrillo - Estación - Ensanche
Fuenlabrada,1 baño,152.000 €,3 dorm.,91 m,Piso en venta en Centro
Moscardo - Antonio Lopez- Madrid,1 baño,198.000 €,3 dorm.,83 m,Piso en venta en Usera
Ciudad De Los Angeles- Madrid,2 baños,216.000 €,3 dorm.,112 m,Piso en venta en Villaverde
